Year,Over_18,Full_Time,First_Year_Student,Age,Gender,Sexual_Orientation,Race,Family_Grad_History,Gross_Family_Income,Credit_Hours,Extracurriculars,Truman_Student_Athlete,Club_Sports,Student_Organization,Student_Government,Social_Sorority/Fraternity,Academic/Service_Fraternity,Marching_Band,Volunteer/Philanthropy,Religious/Campus_Ministry,Other_specified,Fall_employment,Hometown,Weight_Maintenance,Physical_Activity_Stress,Exercise_150_Min,Strength_Training,Healthy_Meal_Choices,Balanced_Diet,Avoid_Tobacco_Drugs,Avoid_Alcohol,7_Hours_Sleep,Regular_Medical_Visits,Physical_Score,Strong_Social_Network,Balance_Needs,Manage_Conflict,Close_Relationships,Laughter,Feelings,Body_Image,Stress_Coping,Controlled_Life,Accept_Mistakes,Relational_Score,Learn_New_Things,Different_Viewpoints,Opposing_Viewpoint_Interaction,Problem_Solving,Challenges_Growth,Current_Events,Creative_Pursuits,Learn_From_Others,Best_Learning_Pathway,Study_Skills,Intellectual_Score,Current_Spirituality,Personal_Values,Spirituality_Purpose,Incorporate_Reflection,Understand_Purpose,Spirituality_Hardship,Openness,Spiritual_Activities,Optimism,Connectedness,Spiritual_Score,Budget,Track_Spending,Save_Money,Financial_Anxiety,Career_Financial_Impact,Financial_Obligations_Overwhelming,Job_Necessity,Parent_Financial_Support,Future_Financial_Plan,Contribution,Financial_Score
1,1,1,1,2,2,2,1,2,3,3,0,0,0,1,0,0,1,0,0,0,0,4,2,3,2,2,1,4,3,4,4,3,1,27,3,2,3,3,3,2,2,3,3,4,28,4,4,4,4,4,4,4,4,4,3,39,4,4,2,1,2,1,4,1,2,3,24,3,2,3,1,4,1,1,1,3,3,22
1,1,1,1,1,1,4,1,2,4,3,0,0,1,0,0,0,1,0,1,0,0,1,2,3,3,2,1,2,1,4,4,3,2,25,3,3,3,2,4,4,2,1,1,4,27,3,4,3,3,4,3,4,4,3,1,32,4,4,2,1,1,1,1,1,2,1,18,4,4,4,1,4,4,4,4,3,3,35
1,1,1,1,1,2,2,1,2,2,2,0,0,1,0,0,0,0,0,1,0,0,3,2,4,4,4,3,2,1,2,1,2,1,24,3,3,3,3,4,4,2,1,1,4,28,3,4,2,4,3,3,3,4,,3,29,2,4,2,1,4,2,4,2,1,2,24,2,2,3,1,4,1,1,3,4,4,25
1,1,1,1,1,1,4,1,1,2,3,0,0,1,0,0,0,0,0,0,0,0,1,2,3,1,1,1,3,2,4,4,2,4,25,4,4,4,4,2,3,1,3,3,4,32,3,3,3,4,4,3,3,3,4,4,34,2,3,2,2,1,1,4,3,3,2,23,4,4,4,3,1,4,4,4,4,2,34
1,1,1,1,1,1,3,1,2,3,3,0,0,0,0,0,1,0,0,0,0,0,1,2,3,3,2,1,4,3,2,2,1,4,25,1,4,1,4,4,4,2,2,4,4,30,4,4,4,4,4,4,4,3,2,2,35,1,4,1,1,4,1,4,1,4,2,23,4,4,4,2,4,1,3,4,4,4,34
1,1,1,1,1,2,4,1,2,4,2,0,0,1,0,0,0,0,0,0,0,0,1,1,4,4,4,4,4,4,4,4,3,4,39,4,4,3,4,4,4,3,4,4,4,38,4,4,4,4,4,3,4,4,4,4,39,4,4,4,4,3,3,4,4,4,4,38,3,3,4,2,4,3,4,4,4,4,35
1,1,1,1,1,2,4,1,2,4,1,0,0,0,1,0,1,0,0,0,0,0,1,1,2,1,2,1,3,3,2,1,3,4,22,4,4,4,4,4,4,4,4,4,3,39,4,4,4,3,4,4,4,3,3,2,35,4,4,4,4,4,4,4,4,4,4,40,3,3,4,2,2,2,2,4,2,3,27
1,1,1,1,1,,4,1,2,3,1,0,0,1,0,0,0,0,0,0,0,0,1,1,3,2,3,2,3,3,3,3,3,4,29,4,3,4,3,4,3,3,3,4,3,34,3,4,2,3,4,2,4,4,3,2,31,3,3,2,1,3,1,3,1,3,3,23,4,3,4,2,3,3,2,4,3,3,31
1,1,1,1,2,,4,1,2,4,2,0,0,1,1,0,1,1,0,0,0,0,1,2,4,4,4,4,4,3,3,3,2,3,34,3,4,4,4,4,3,3,3,3,4,35,3,3,4,3,3,4,3,3,3,2,31,3,3,2,2,3,3,2,2,3,3,26,2,2,3,2,3,2,3,2,3,3,25
1,1,1,1,1,2,7,1,2,,1,0,0,0,1,0,0,0,0,0,0,0,1,2,3,1,2,1,2,2,3,3,2,4,23,3,2,2,3,3,2,2,1,2,2,22,3,3,2,3,2,1,4,3,3,3,27,2,3,1,1,1,1,3,2,1,2,17,3,2,4,1,4,2,3,4,3,2,28
